zpid,price_last_sold,date_last_sold,zipcode,city,street,year_built,lot_size,home_size,bathrooms,bedrooms,longitude,latitude,walkscore
35906163,2050000,8/8/16,30327,Atlanta,440 Kenbrook Dr,2007,43560,9000,7,6,-84.401877,33.898693,1
35901390,2010000,12/21/16,30305,Atlanta,166 W Wesley Rd NW,1925,29620,4716,5,5,-84.392945,33.828168,41
35917193,2000000,8/2/16,30327,Atlanta,1337 Peachtree Battle Ave NW,2006,25199,7700,6,6,-84.43118,33.826215,9
92193998,1999000,10/26/16,30326,Atlanta,3376 Peachtree Rd NE # 36A,2016,3180,2999,4,3,-84.36657,33.849468,84
88821139,1995000,5/19/16,30305,Atlanta,2440 Peachtree Rd NW UNIT 17,2008,1307,4545,3,4,-84.388694,33.82171,76
35906599,1917000,6/23/16,30327,Atlanta,4600 Millbrook Dr NW,2015,28928,5408,5,5,-84.402983,33.88057,14
35913669,1910000,10/14/16,30327,Atlanta,4505 Garmon Rd NW,1969,87120,9175,10,6,-84.423998,33.878698,7
35917207,1877000,9/15/16,30327,Atlanta,1282 Bohler Ct NW,2006,24803,6074,7,6,-84.429569,33.827781,14
35910957,1860000,8/25/16,30327,Atlanta,730 Arden Close NW,1982,33497,5629,8,5,-84.40962,33.830691,14
92192008,1850000,10/1/16,30326,Atlanta,3376 Peachtree Rd NE # 41A,2008,0,3180,3,2,-84.366569,33.849468,84
69364506,1850000,8/31/16,30305,Atlanta,2950 Slaton Dr NW,2004,32670,5762,8,6,-84.387196,33.836574,81
35931944,1850000,3/6/17,30309,Atlanta,92 Golf Cir NE,1925,15002,5811,5,5,-84.377154,33.802243,56
35902504,1835000,10/25/16,30342,Atlanta,80 Tuxedo Ter NW,2015,15999,5615,7,6,-84.390095,33.860356,30
35922280,1834000,11/3/16,30327,Atlanta,3015 Rivermeade Dr NW,1978,87120,6339,6,5,-84.459114,33.838497,0
35906134,1832500,10/27/16,30327,Atlanta,5620 Claire Rose Ln,1999,33976,8953,7,6,-84.403237,33.910084,0
35913789,1830000,8/5/16,30327,Atlanta,4261 Garmon Rd NW,1999,43560,7834,7,5,-84.426357,33.870562,6
35920134,1815000,3/17/17,30327,Atlanta,2840 Ridge Valley Rd NW,2007,42688,6447,9,6,-84.440471,33.832924,4
35911954,1800500,6/10/16,30327,Atlanta,750 Tanglewood Trl,1966,91475,9017,7,6,-84.411761,33.88767,1
35907202,1800000,4/7/17,30342,Atlanta,342 King Rd NW,1954,65252,5847,5,6,-84.398711,33.861635,2
35911544,1800000,1/31/17,30327,Atlanta,3668 Castlegate Dr NW,1960,52272,6000,7,5,-84.414204,33.855399,4
35912219,1800000,7/25/16,30327,Atlanta,5470 Mount Vernon Pkwy,2007,37897,9283,9,6,-84.410354,33.904645,3
2095653609,1795000,3/14/17,30308,Atlanta,867 Peachtree St NE UNIT 601,2015,0,2874,3,3,-84.38401,33.778331,93
35902333,1795000,6/9/16,30305,Atlanta,3429 Habersham Rd NW,1998,31798,7814,7,6,-84.390181,33.84776,33
35919991,1792000,7/1/16,30327,Atlanta,3093 Ridgewood Rd NW,1960,65727,4247,5,5,-84.446322,33.838471,3
35912098,1775000,12/27/16,30327,Atlanta,900 S Powers Ct,1985,34525,11795,10,7,-84.412088,33.900153,4
35921854,1773000,12/27/16,30327,Atlanta,2761 Ridgewood Rd NW,2007,97138,6728,8,6,-84.448086,33.830235,13
112432978,1765000,6/16/16,30326,Atlanta,3630 Peachtree Rd NE UNIT 3107,2010,2792,2792,3,3,-84.358574,33.854675,81
35902433,1750000,6/30/16,30342,Atlanta,160 Blackland Dr NW,1957,28601,4687,4,4,-84.389908,33.854662,33
14651073,1750000,11/7/16,30022,Alpharetta,3020 Wellington Rd,1992,0,6587,8,7,-84.241819,34.011868,1
35902354,1740000,5/14/16,30305,Atlanta,3378 Knollwood Dr NW,1954,43995,4502,4,3,-84.396163,33.847239,13
35896215,1725000,6/16/16,30305,Atlanta,2616 Brookwood Dr NE,1991,18730,4264,6,6,-84.38123,33.825996,47
35922281,1720000,4/26/16,30327,Atlanta,3023 Rivermeade Dr NW,1972,78647,7274,4,5,-84.459271,33.837931,0
35900563,1716725,12/27/16,30305,Atlanta,2419 Woodward Way NW,1947,15438,4500,4,5,-84.395879,33.820865,44
35921924,1715000,1/27/17,30327,Atlanta,3290 Ridgewood Rd NW,1951,135472,7356,6,5,-84.448856,33.844927,2
108600017,1710000,5/17/16,30327,Atlanta,450 Conway Point Dr,2009,20473,5463,6,6,-84.399749,33.881428,12
112432045,1700000,1/12/17,30326,Atlanta,3630 Peachtree Rd NE UNIT 2903,2010,0,2699,4,3,-84.358573,33.854675,81
112431923,1700000,10/26/16,30326,Atlanta,3630 Peachtree Rd NE UNIT 2703,2010,2701,2701,4,3,-84.358573,33.854675,81
